ID_venta,Fecha,Producto,Categoría,Precio_Unitario,Cantidad_Vendida,Total_Venta,Cliente_ID,Satisfacción_Cliente,NPS
56,2024-02-25,Monitor 4K,Impresoras,329,6,1974,37,9,-62
57,2024-02-26,Smartphone X1,Mobiliario,1910,8,15280,26,5,25
58,2024-02-27,Teclado Mecánico,Tablets,933,2,1866,23,9,94
59,2024-02-28,Teclado Mecánico,Tablets,1683,5,8415,9,4,72
60,2024-02-29,Impresora Láser,Almacenamiento,247,1,247,12,10,40
61,2024-03-01,Monitor 4K,Monitores,1031,1,1031,1,5,25
62,2024-03-02,Teclado Mecánico,Celulares,1980,5,9900,1,9,-43
63,2024-03-03,Smartphone X1,Celulares,1584,3,4752,47,8,47
64,2024-03-04,Impresora Láser,Accesorios,801,4,3204,34,3,99
65,2024-03-05,Smartphone X1,Almacenamiento,193,3,579,32,1,-40
66,2024-03-06,Impresora Láser,Computadores,658,1,658,48,3,26
67,2024-03-07,Monitor 4K,Accesorios,1274,1,1274,25,4,4
68,2024-03-08,SSD 1TB,Almacenamiento,1197,5,5985,40,2,66
69,2024-03-09,Mouse Gaming,Monitores,236,6,1416,45,1,-100
70,2024-03-10,Silla Ergonómica,Monitores,1399,3,4197,1,7,30
71,2024-03-11,SSD 1TB,Monitores,513,9,4617,16,8,-9
72,2024-03-12,Auriculares Pro,Monitores,1422,5,7110,39,7,89
73,2024-03-13,Smartphone X1,Monitores,1844,8,14752,5,5,90
74,2024-03-14,Auriculares Pro,Almacenamiento,709,1,709,22,1,12
75,2024-03-15,SSD 1TB,Almacenamiento,813,5,4065,29,7,52
76,2024-03-16,Impresora Láser,Tablets,1004,3,3012,3,7,-45
77,2024-03-17,Silla Ergonómica,Impresoras,452,1,452,12,9,60
78,2024-03-18,Silla Ergonómica,Celulares,1419,4,5676,26,3,65
79,2024-03-19,Laptop ProTech,Mobiliario,1584,5,7920,16,9,16
80,2024-03-20,Silla Ergonómica,Monitores,196,7,1372,37,1,33
81,2024-03-21,Mouse Gaming,Computadores,1221,1,1221,22,1,-43
82,2024-03-22,Silla Ergonómica,Mobiliario,913,3,2739,29,4,-57
83,2024-03-23,SSD 1TB,Almacenamiento,1784,2,3568,14,9,72
84,2024-03-24,Laptop ProTech,Computadores,1893,9,17037,28,6,59
85,2024-03-25,SSD 1TB,Computadores,538,6,3228,5,3,72
86,2024-03-26,SSD 1TB,Computadores,978,3,2934,47,1,-40
87,2024-03-27,Tablet Ultra,Tablets,1713,8,13704,49,4,-54
88,2024-03-28,Laptop ProTech,Almacenamiento,600,8,4800,30,9,48
89,2024-03-29,SSD 1TB,Computadores,387,2,774,46,3,-21
90,2024-03-30,Tablet Ultra,Monitores,921,6,5526,5,9,17
91,2024-03-31,Tablet Ultra,Accesorios,690,7,4830,12,7,63
92,2024-04-01,Laptop ProTech,Computadores,1852,2,3704,16,4,46
93,2024-04-02,Auriculares Pro,Tablets,522,2,1044,26,3,-81
94,2024-04-03,Impresora Láser,Mobiliario,200,1,200,26,10,84
95,2024-04-04,Mouse Gaming,Almacenamiento,1488,8,11904,48,5,45
96,2024-04-05,Impresora Láser,Impresoras,1371,1,1371,21,5,-54
97,2024-04-06,Silla Ergonómica,Tablets,1684,9,15156,39,3,-52
98,2024-04-07,Mouse Gaming,Computadores,312,6,1872,36,9,-87
99,2024-04-08,Silla Ergonómica,Almacenamiento,1837,7,12859,33,4,42
100,2024-04-09,SSD 1TB,Accesorios,193,7,1351,30,5,58
